respondent_id,age_group,gender,nps,satisfaction,channel,free_text,submitted_at
R2025-000359,30대,여성,3,1,지인 추천,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-03-23 21:38:00
R2025-000360,40대,여성,7,3,지인 추천,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-23 21:41:00
R2025-000361,50대,남성,7,4,카카오톡 채널,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-23 23:06:00
R2025-000362,20대,응답하지 않음,8,5,카카오톡 채널,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-03-24 01:37:00
R2025-000363,20대,응답하지 않음,6,3,인스타그램,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-24 07:10:00
R2025-000364,20대,남성,9,5,인스타그램,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-24 09:47:00
R2025-000365,40대,남성,8,4,카카오톡 채널,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-24 09:53:00
R2025-000366,30대,남성,3,2,카카오톡 채널,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-24 10:00:00
R2025-000367,40대,남성,5,3,지인 추천,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-24 10:22:00
R2025-000368,40대,여성,7,3,지인 추천,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-24 12:32:00
R2025-000369,30대,남성,9,4,네이버 검색,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-24 13:40:00
R2025-000370,50대,남성,10,4,카카오톡 채널,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-24 14:27:00
R2025-000371,40대,여성,7,4,이메일,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-24 15:48:00
R2025-000372,30대,여성,7,3,네이버 검색,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-24 19:22:00
R2025-000373,30대,응답하지 않음,6,4,이메일,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-03-24 19:39:00
R2025-000374,30대,응답하지 않음,8,4,네이버 검색,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-24 20:24:00
R2025-000375,20대,남성,7,4,인스타그램,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-24 21:40:00
R2025-000376,20대,남성,9,4,카카오톡 채널,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-24 21:43:00
R2025-000377,50대,여성,6,3,네이버 검색,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-25 00:24:00
R2025-000378,30대,여성,9,4,이메일,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-25 00:24:00
R2025-000379,30대,남성,5,3,카카오톡 채널,환불 절차가 예상보다 오래 걸렸습니다.,2025-03-25 04:04:00
R2025-000380,40대,남성,5,3,앱 푸시,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-03-25 05:10:00
R2025-000381,40대,여성,4,3,카카오톡 채널,고객센터 답변이 정중했지만 해결까지 시간이 걸렸습니다.,2025-03-25 10:00:00
R2025-000382,50대,남성,10,4,이메일,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-25 11:13:00
R2025-000383,50대,여성,10,4,앱 푸시,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-25 11:53:00
R2025-000384,30대,남성,5,3,인스타그램,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-25 15:16:00
R2025-000385,30대,여성,10,5,네이버 검색,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-03-25 16:45:00
R2025-000386,60대 이상,여성,10,5,지인 추천,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-25 19:30:00
R2025-000387,40대,여성,2,2,인스타그램,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-25 19:52:00
R2025-000388,60대 이상,여성,8,4,앱 푸시,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-25 21:44:00
R2025-000389,20대,남성,9,4,카카오톡 채널,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-25 22:41:00
R2025-000390,50대,여성,9,5,네이버 검색,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-25 23:41:00
R2025-000391,40대,여성,4,3,네이버 검색,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-03-26 00:20:00
R2025-000392,20대,남성,5,3,지인 추천,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-03-26 01:21:00
R2025-000393,40대,남성,7,4,앱 푸시,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-03-26 05:23:00
R2025-000394,40대,여성,6,3,네이버 검색,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-26 05:27:00
R2025-000395,10대,여성,8,4,오프라인 매장,상담 답변이 빨랐고 처리 과정이 깔끔했습니다.,2025-03-26 06:44:00
R2025-000396,30대,여성,9,4,앱 푸시,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-26 10:58:00
R2025-000397,50대,남성,3,3,네이버 검색,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-26 10:59:00
R2025-000398,30대,여성,7,4,네이버 검색,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-26 11:16:00
R2025-000399,30대,여성,9,5,지인 추천,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-03-26 11:38:00
R2025-000400,30대,여성,9,5,지인 추천,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-26 15:20:00
R2025-000401,30대,남성,10,4,네이버 검색,상담 답변이 빨랐고 처리 과정이 깔끔했습니다.,2025-03-26 16:19:00
R2025-000402,50대,여성,3,3,오프라인 매장,품절 대체 안내가 빨라서 불편이 적었습니다.,2025-03-26 16:40:00
R2025-000403,50대,남성,4,3,인스타그램,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-26 16:45:00
R2025-000404,20대,여성,10,5,이메일,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-26 19:39:00
R2025-000405,60대 이상,남성,9,4,이메일,포장 상태가 깔끔했고 파손 없이 도착했습니다.,2025-03-26 21:18:00
R2025-000406,50대,여성,8,4,오프라인 매장,직원 응대가 친절했고 설명도 이해하기 쉬웠습니다.,2025-03-27 00:38:00
R2025-000407,30대,여성,10,5,인스타그램,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-27 01:20:00
R2025-000408,50대,여성,4,2,네이버 검색,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-27 02:43:00
R2025-000409,20대,남성,8,4,인스타그램,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-27 02:56:00
R2025-000410,60대 이상,남성,5,3,네이버 검색,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-27 08:24:00
R2025-000411,40대,여성,1,2,지인 추천,상담 답변이 빨랐고 처리 과정이 깔끔했습니다.,2025-03-27 08:39:00
R2025-000412,40대,여성,7,4,네이버 검색,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-27 10:56:00
R2025-000413,20대,남성,3,3,인스타그램,영수증과 결제 내역 확인이 쉬웠습니다.,2025-03-27 12:44:00
R2025-000414,50대,남성,10,5,네이버 검색,앱 디자인이 깔끔하고 글자가 잘 보입니다.,2025-03-27 13:12:00
R2025-000415,10대,여성,6,3,카카오톡 채널,품절 대체 안내가 빨라서 불편이 적었습니다.,2025-03-27 15:17:00
R2025-000416,20대,여성,8,5,네이버 검색,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-27 15:37:00
R2025-000417,20대,남성,7,4,지인 추천,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-27 17:01:00
R2025-000418,40대,남성,8,4,오프라인 매장,프로모션 문구가 이해하기 쉬웠습니다.,2025-03-27 20:23:00
R2025-000419,20대,남성,8,5,네이버 검색,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-27 22:00:00
R2025-000420,50대,남성,8,4,이메일,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-27 22:28:00
R2025-000421,40대,여성,4,3,이메일,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-03-27 23:34:00
R2025-000422,10대,여성,5,3,카카오톡 채널,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-28 00:43:00
R2025-000423,10대,여성,5,3,지인 추천,반품 배송비 안내가 더 앞쪽에 있으면 좋겠습니다.,2025-03-28 01:55:00
R2025-000424,20대,여성,9,5,카카오톡 채널,신규 고객용 안내가 조금 더 자세했으면 합니다.,2025-03-28 03:14:00
R2025-000425,40대,여성,8,4,네이버 검색,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-28 03:47:00
R2025-000426,50대,여성,4,3,인스타그램,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-03-28 07:47:00
R2025-000427,20대,여성,4,3,네이버 검색,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-28 08:30:00
R2025-000428,50대,남성,10,4,이메일,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-28 11:25:00
R2025-000429,20대,여성,7,4,앱 푸시,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-28 12:43:00
R2025-000430,50대,여성,4,3,오프라인 매장,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-28 15:25:00
R2025-000431,50대,남성,8,4,인스타그램,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-28 17:50:00
R2025-000432,40대,남성,7,4,인스타그램,환불 절차가 예상보다 오래 걸렸습니다.,2025-03-28 20:02:00
R2025-000433,40대,남성,9,5,앱 푸시,쿠폰 적용 방법이 더 잘 보이면 좋겠습니다.,2025-03-28 20:05:00
R2025-000434,50대,남성,6,3,네이버 검색,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-28 21:27:00
R2025-000435,10대,남성,7,4,네이버 검색,프로모션 문구가 이해하기 쉬웠습니다.,2025-03-28 21:59:00
R2025-000436,20대,여성,7,3,인스타그램,품절 대체 안내가 빨라서 불편이 적었습니다.,2025-03-28 22:13:00
R2025-000437,20대,여성,7,3,카카오톡 채널,상담 답변이 빨랐고 처리 과정이 깔끔했습니다.,2025-03-28 23:12:00
R2025-000438,30대,남성,7,4,카카오톡 채널,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-28 23:31:00
R2025-000439,40대,여성,8,4,네이버 검색,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-28 23:59:00
R2025-000440,40대,여성,5,3,인스타그램,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-29 00:06:00
R2025-000441,50대,여성,10,5,네이버 검색,상담 답변이 빨랐고 처리 과정이 깔끔했습니다.,2025-03-29 00:19:00
R2025-000442,20대,여성,4,2,네이버 검색,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-29 01:16:00
R2025-000443,40대,여성,7,4,네이버 검색,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-29 01:48:00
R2025-000444,20대,여성,8,5,카카오톡 채널,포장 상태가 깔끔했고 파손 없이 도착했습니다.,2025-03-29 06:44:00
R2025-000445,30대,남성,10,4,이메일,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-29 09:19:00
R2025-000446,40대,남성,10,5,카카오톡 채널,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-03-29 09:32:00
R2025-000447,60대 이상,여성,9,4,지인 추천,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-29 10:01:00
R2025-000448,40대,남성,10,5,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-29 10:36:00
R2025-000449,20대,여성,7,4,카카오톡 채널,신규 고객용 안내가 조금 더 자세했으면 합니다.,2025-03-29 11:29:00
R2025-000450,40대,남성,7,4,오프라인 매장,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-03-29 13:24:00
R2025-000451,10대,남성,8,3,지인 추천,상세 페이지 사진이 충분해서 구매 결정에 도움이 됐습니다.,2025-03-29 17:41:00
R2025-000452,50대,여성,6,4,인스타그램,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-03-29 18:32:00
R2025-000453,40대,남성,7,3,네이버 검색,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-29 21:01:00
R2025-000454,20대,응답하지 않음,10,5,네이버 검색,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-29 22:34:00
R2025-000455,20대,남성,5,3,앱 푸시,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-30 04:10:00
R2025-000456,20대,응답하지 않음,6,3,오프라인 매장,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-30 06:22:00
R2025-000457,60대 이상,남성,9,5,앱 푸시,고객센터 연결까지 대기 시간이 길었습니다.,2025-03-30 11:13:00
R2025-000458,30대,여성,5,3,이메일,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-30 11:22:00
R2025-000459,50대,남성,5,3,네이버 검색,쿠폰 적용 방법이 더 잘 보이면 좋겠습니다.,2025-03-30 14:30:00
R2025-000460,40대,남성,8,4,오프라인 매장,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-30 15:36:00
R2025-000461,40대,남성,7,3,카카오톡 채널,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-30 15:38:00
R2025-000462,20대,여성,6,3,오프라인 매장,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-30 16:01:00
R2025-000463,60대 이상,남성,9,4,네이버 검색,영수증과 결제 내역 확인이 쉬웠습니다.,2025-03-30 16:50:00
R2025-000464,30대,여성,4,3,카카오톡 채널,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-03-30 19:15:00
R2025-000465,40대,남성,4,3,오프라인 매장,이벤트 안내가 실제 구매에 도움이 됐습니다.,2025-03-30 19:28:00
R2025-000466,40대,여성,4,1,오프라인 매장,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-30 20:54:00
R2025-000467,40대,남성,6,3,인스타그램,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-30 21:46:00
R2025-000468,60대 이상,남성,4,3,카카오톡 채널,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-03-30 22:04:00
R2025-000469,20대,여성,2,1,카카오톡 채널,추천 상품이 제 관심사와 잘 맞았습니다.,2025-03-31 01:35:00
R2025-000470,30대,여성,9,4,앱 푸시,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-31 03:48:00
R2025-000471,30대,여성,9,4,카카오톡 채널,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-31 03:50:00
R2025-000472,30대,남성,5,2,카카오톡 채널,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-31 05:04:00
R2025-000473,20대,남성,6,3,인스타그램,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-31 06:01:00
R2025-000474,20대,여성,10,5,카카오톡 채널,주문 변경이 바로 반영돼서 편리했습니다.,2025-03-31 06:10:00
R2025-000475,30대,여성,9,4,인스타그램,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-31 06:26:00
R2025-000476,30대,여성,8,4,카카오톡 채널,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-31 06:55:00
R2025-000477,30대,여성,7,4,오프라인 매장,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-31 09:42:00
R2025-000478,40대,남성,4,3,이메일,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-31 11:24:00
R2025-000479,40대,남성,10,5,앱 푸시,상세 페이지 사진이 충분해서 구매 결정에 도움이 됐습니다.,2025-03-31 12:20:00
R2025-000480,30대,여성,10,5,인스타그램,혜택 조건이 복잡해서 한 번 더 확인해야 했습니다.,2025-03-31 12:40:00
R2025-000481,30대,남성,9,5,카카오톡 채널,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-03-31 16:35:00
R2025-000482,20대,여성,6,3,지인 추천,결제 오류 안내가 구체적이지 않아 재시도했습니다.,2025-03-31 17:57:00
R2025-000483,40대,남성,7,3,오프라인 매장,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-31 19:26:00
R2025-000484,30대,여성,5,3,인스타그램,상품 비교 기능이 있으면 더 좋겠습니다.,2025-03-31 21:47:00
R2025-000485,10대,남성,6,3,지인 추천,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-31 22:31:00
R2025-000486,30대,남성,7,3,오프라인 매장,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-31 23:39:00
R2025-000487,30대,여성,7,4,지인 추천,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-31 23:50:00
R2025-000488,20대,남성,6,3,오프라인 매장,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-04-01 00:31:00
R2025-000489,40대,응답하지 않음,10,5,네이버 검색,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-04-01 00:40:00
R2025-000490,40대,여성,4,2,인스타그램,매장 픽업 시간이 정확하게 안내됐습니다.,2025-04-01 01:17:00
R2025-000491,40대,여성,3,1,인스타그램,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-04-01 05:35:00
R2025-000492,40대,남성,10,5,네이버 검색,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-04-01 05:41:00
R2025-000493,40대,여성,6,4,이메일,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-04-01 05:56:00
R2025-000494,30대,여성,6,3,인스타그램,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-04-01 08:52:00
R2025-000495,50대,여성,7,4,네이버 검색,고객센터 연결까지 대기 시간이 길었습니다.,2025-04-01 10:02:00
R2025-000496,40대,남성,5,3,오프라인 매장,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-04-01 10:08:00
R2025-000497,30대,여성,3,3,지인 추천,매장 픽업 시간이 정확하게 안내됐습니다.,2025-04-01 12:59:00
R2025-000498,40대,여성,8,4,오프라인 매장,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-04-01 13:17:00
R2025-000499,30대,남성,6,3,카카오톡 채널,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-04-01 14:05:00
R2025-000500,30대,남성,7,4,이메일,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-04-01 14:30:00
R2025-000501,40대,남성,4,3,카카오톡 채널,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-04-01 15:30:00
R2025-000502,50대,여성,7,4,인스타그램,이벤트 안내가 실제 구매에 도움이 됐습니다.,2025-04-01 15:39:00
R2025-000503,50대,남성,9,4,네이버 검색,알림이 너무 자주 와서 설정을 바꿨습니다.,2025-04-01 15:49:00
R2025-000504,30대,남성,5,3,지인 추천,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-04-01 15:59:00
R2025-000505,30대,여성,3,2,지인 추천,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-04-01 16:00:00
R2025-000506,50대,남성,7,4,인스타그램,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-04-01 17:32:00
R2025-000507,30대,여성,10,5,인스타그램,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-04-01 18:14:00
R2025-000508,50대,여성,7,4,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-04-01 19:30:00
R2025-000509,30대,여성,8,4,지인 추천,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-04-02 00:32:00
R2025-000510,20대,남성,9,4,네이버 검색,프로모션 문구가 이해하기 쉬웠습니다.,2025-04-02 00:36:00
R2025-000511,20대,여성,4,3,앱 푸시,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-04-02 02:51:00
R2025-000512,50대,여성,6,4,지인 추천,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-04-02 04:20:00
R2025-000513,20대,여성,6,3,앱 푸시,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-04-02 04:27:00
R2025-000514,30대,여성,8,4,앱 푸시,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-04-02 05:11:00
R2025-000515,30대,여성,6,3,이메일,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-04-02 07:38:00
R2025-000516,20대,남성,5,3,오프라인 매장,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-04-02 08:23:00
R2025-000517,30대,여성,7,4,인스타그램,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-04-02 09:46:00
R2025-000518,40대,여성,8,4,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-04-02 10:42:00
R2025-000519,10대,남성,8,4,인스타그램,고객센터 연결까지 대기 시간이 길었습니다.,2025-04-02 11:12:00
R2025-000520,50대,여성,9,4,오프라인 매장,상담원이 상황을 잘 이해하고 해결책을 안내했습니다.,2025-04-02 12:33:00
R2025-000521,50대,남성,9,5,인스타그램,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-04-02 12:45:00
R2025-000522,30대,여성,10,5,이메일,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-04-02 13:27:00
R2025-000523,20대,여성,8,5,네이버 검색,앱 디자인이 깔끔하고 글자가 잘 보입니다.,2025-04-02 13:34:00
R2025-000524,40대,여성,8,4,카카오톡 채널,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-04-02 13:43:00
R2025-000525,20대,여성,8,4,인스타그램,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-04-02 17:06:00
R2025-000526,30대,여성,7,4,카카오톡 채널,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-04-02 17:34:00
R2025-000527,60대 이상,남성,6,4,네이버 검색,상담원이 상황을 잘 이해하고 해결책을 안내했습니다.,2025-04-02 18:37:00
R2025-000528,60대 이상,여성,4,3,네이버 검색,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-04-02 18:38:00
R2025-000529,40대,남성,8,4,오프라인 매장,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-04-02 19:45:00
R2025-000530,30대,남성,2,1,인스타그램,프로모션 문구가 이해하기 쉬웠습니다.,2025-04-03 03:22:00
R2025-000531,40대,여성,2,1,네이버 검색,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-04-03 04:07:00
R2025-000532,40대,여성,9,5,네이버 검색,환불 절차가 예상보다 오래 걸렸습니다.,2025-04-03 04:17:00
R2025-000533,30대,여성,4,2,인스타그램,영수증과 결제 내역 확인이 쉬웠습니다.,2025-04-03 06:42:00
R2025-000534,40대,여성,9,4,네이버 검색,알림이 너무 자주 와서 설정을 바꿨습니다.,2025-04-03 06:45:00
R2025-000535,10대,여성,7,4,지인 추천,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-04-03 09:29:00
R2025-000536,20대,남성,5,3,오프라인 매장,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-04-03 11:17:00
R2025-000537,30대,남성,9,5,네이버 검색,영수증과 결제 내역 확인이 쉬웠습니다.,2025-04-03 11:20:00
R2025-000538,20대,여성,7,3,인스타그램,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-04-03 12:07:00
R2025-000539,20대,남성,9,5,네이버 검색,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-04-03 13:27:00
R2025-000540,50대,남성,7,4,카카오톡 채널,상품 비교 기능이 있으면 더 좋겠습니다.,2025-04-03 15:32:00
R2025-000541,60대 이상,여성,5,3,이메일,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-04-03 15:44:00
R2025-000542,40대,남성,3,3,인스타그램,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-04-03 18:02:00
R2025-000543,50대,남성,5,3,이메일,신규 고객용 안내가 조금 더 자세했으면 합니다.,2025-04-03 21:46:00
R2025-000544,60대 이상,남성,8,4,네이버 검색,이벤트 안내가 실제 구매에 도움이 됐습니다.,2025-04-03 23:21:00
R2025-000545,20대,응답하지 않음,8,3,카카오톡 채널,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-04-03 23:59:00
R2025-000546,30대,여성,10,5,인스타그램,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-04-04 00:29:00
R2025-000547,30대,여성,5,3,인스타그램,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-04-04 01:28:00
R2025-000548,20대,남성,10,5,앱 푸시,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-04-04 03:55:00
R2025-000549,40대,여성,5,3,네이버 검색,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-04-04 07:45:00
R2025-000550,30대,여성,10,5,이메일,직원 응대가 친절했고 설명도 이해하기 쉬웠습니다.,2025-04-04 08:05:00
R2025-000551,30대,응답하지 않음,6,3,이메일,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-04-04 09:02:00
R2025-000552,20대,여성,8,4,인스타그램,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-04-04 09:09:00
R2025-000553,20대,여성,6,4,카카오톡 채널,매장 픽업 시간이 정확하게 안내됐습니다.,2025-04-04 10:22:00
R2025-000554,50대,남성,4,2,인스타그램,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-04-04 11:47:00
R2025-000555,10대,여성,8,5,카카오톡 채널,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-04-04 20:25:00
R2025-000556,20대,여성,6,3,오프라인 매장,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-04-04 21:33:00
R2025-000557,30대,응답하지 않음,10,4,인스타그램,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-04-04 21:44:00
R2025-000558,30대,여성,10,4,앱 푸시,고객센터 답변이 정중했지만 해결까지 시간이 걸렸습니다.,2025-04-04 21:54:00
R2025-000559,40대,여성,9,4,지인 추천,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-04-04 21:59:00
R2025-000560,30대,여성,5,2,인스타그램,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-04-04 22:11:00
R2025-000561,20대,남성,4,3,지인 추천,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-04-04 22:24:00
R2025-000562,20대,여성,7,3,인스타그램,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-04-04 23:16:00
R2025-000563,50대,여성,4,3,이메일,매장 픽업 시간이 정확하게 안내됐습니다.,2025-04-05 04:16:00
R2025-000564,40대,여성,5,3,네이버 검색,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-04-05 04:31:00
R2025-000565,40대,여성,10,5,앱 푸시,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-04-05 05:53:00
R2025-000566,40대,남성,7,4,오프라인 매장,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-04-05 05:59:00
R2025-000567,40대,여성,10,4,이메일,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-04-05 07:26:00
